uniprot_id,type,cosine,euclidean,manhattan,blast
P08922,enzyme,0.2,0.3,0.2,0.6
P08172,receptor,0.7,0.7,0.7,1.0
O75369,structural,0.1,0.1,0.1,0.7
P05787,structural,0.0,0.0,0.0,0.0
P01571,signalling,0.0,0.0,0.0,0.9
O00746,enzyme,0.0,0.0,0.0,0.75
P06865,enzyme,0.1,0.2,0.2,0.2
P01909,immune,0.1,0.1,0.1,1.0
P05997,structural,0.3,0.4,0.3,0.8
P09683,signalling,0.2,0.2,0.2,0.5
